AGE,GENDER,POLICYSTATUS,PREMIUMFREQUENCY,POLICYTERM,INTERESTRATE,SUMASSURED,PREMIUM
47,1,1,1,20,115,1150000,286308.2
54,1,1,1,25,115,650000,138866.67
42,1,1,1,26,115,470000,66519.29
47,1,1,1,23,115,1150000,4066.83
46,1,1,1,26,115,500000,70745.86
60,1,1,1,16,115,1500000,18172.19
60,1,1,1,17,105,250000,21536.74
55,1,1,1,23,98,1300000,20841.35
49,1,1,1,27,105,680000,14892.15
60,1,1,1,20,105,1000000,452.32
67,1,1,1,15,115,800000,95806.33
61,1,1,1,16,115,500000,6648.49
67,1,1,1,17,115,600000,350898.19
40,1,1,1,26,115,1160000,49982.07
45,1,1,1,27,115,660000,78817.69
41,1,1,1,22,115,880000,502069.69
50,1,1,1,21,115,440000,66219.7
48,1,1,1,23,115,500000,57021.6
69,1,1,1,15,115,235000,3710.66
44,1,1,1,21,105,1400000,130113.7
48,1,1,1,24,105,940000,104032.85
49,1,1,1,22,115,1200000,138087
61,1,1,1,18,105,950000,1574.95
66,1,1,1,16,105,820000,1041.54
43,1,1,1,22,105,1000000,436.05
48,1,1,1,25,105,950000,15422.2
48,1,1,1,24,105,950000,15422.2
69,1,1,1,18,105,1000000,4412.52
55,1,1,1,22,105,640000,584.99
47,1,1,1,25,105,800000,3685.42
49,1,1,1,28,115,470000,32022.74
68,1,1,1,19,115,85000,22672.56
65,1,1,1,20,115,860000,237781.5
69,1,1,1,17,105,1240000,536100.28
56,1,1,1,24,98,1350000,8931.24
57,1,1,1,23,105,690000,297.63
60,1,1,1,17,105,380000,680.69
59,1,1,1,23,115,630000,155947.86
67,1,1,1,18,115,1100000,137714.07
68,1,1,1,16,98,1900000,20399.05
44,1,1,1,24,115,890000,106106.56
48,1,1,1,20,115,750000,49102.36
44,1,1,1,27,115,680000,79374.98
60,1,1,1,17,115,600000,11272.98
51,1,1,1,22,98,1080000,581314.74
47,1,1,1,29,115,450000,52027.21
50,1,1,1,25,115,900000,105902.02
67,1,1,1,15,115,900000,91143.39
45,1,1,1,26,115,235000,15800.51
64,1,1,1,16,115,1000000,286067.89
65,1,1,1,18,98,1400000,150339.63
45,1,1,1,25,98,900000,306047.24
56,1,1,1,22,115,400000,45373.11
42,1,1,1,25,98,700000,362151.46
64,1,1,1,18,115,480000,133047.54
44,1,1,1,28,115,330000,38696.49
48,1,1,1,21,115,300000,35640.51
47,1,1,1,25,115,550000,15853.83
61,1,1,1,20,115,1800000,1437078.53
42,1,1,1,29,115,750000,183985.4
42,1,1,1,30,98,1038000,478476.75
42,1,1,1,27,115,700000,60910.84
53,1,1,1,22,115,1200000,91823.83
44,1,1,1,30,115,540000,47313.94
62,1,1,1,20,115,1100000,132523.72
52,1,1,1,21,98,850000,11112.41
69,1,1,1,15,115,295000,17593.53
68,1,1,1,19,115,450000,107390.67
56,1,1,1,30,115,300000,57435.77
43,1,1,1,29,105,1000000,221406.5
59,1,1,1,23,115,500000,53922.41
54,1,1,1,22,115,360000,88259.56
66,1,1,1,20,98,1000000,337377.89
63,1,1,1,19,115,450000,107458.62
64,1,1,1,18,98,1300000,160878.55
67,1,1,1,20,115,3250000,350367.39
57,1,1,1,29,115,200000,49291.88
69,1,1,1,18,115,1100000,265589.51
66,1,1,1,19,105,1100000,88210.77
42,1,1,1,21,115,850000,92376
48,1,1,1,22,115,270000,30724.92
49,1,1,1,21,115,610000,71443.93
60,1,1,1,18,115,300000,86234.69
63,1,1,1,18,115,1200000,118858.76
67,1,1,1,15,115,225000,13288.37
42,1,1,1,26,115,850000,203161.78
46,1,1,1,20,98,1230000,21557.3
52,1,1,1,29,115,500000,116488.1
60,1,1,1,17,15,5732960,600147.46
59,1,1,1,20,115,300000,35465.55
48,1,1,1,24,115,85000,184188.09
53,1,1,1,20,115,440000,50048
51,1,1,1,24,115,500000,54355.78
59,1,1,1,25,115,400000,378017.11
66,1,1,1,20,115,700000,65678.85
64,1,1,1,17,115,810000,14623.27
41,1,1,1,23,115,760000,89821.43
58,1,1,1,26,98,890000,194595.2
67,1,1,1,17,115,195000,39298.35
45,1,1,1,21,115,470000,56569.46
57,1,1,1,20,115,3300000,20263.18
61,1,1,1,19,15,9532800,426702.85
69,1,1,1,15,115,130000,14883.38
42,1,1,1,20,115,660000,78008.86
41,1,1,1,25,115,1300000,130511.74
59,1,1,1,27,115,600000,62739.52
43,1,1,1,26,115,300000,32286.96
53,1,1,1,30,115,305000,32825.08
68,1,1,1,17,115,200000,22143.5
55,1,1,1,23,115,2000000,210403.31
65,1,1,1,17,115,1500000,152610.29
58,1,1,1,24,115,1750000,188914.84
64,1,1,1,20,115,1450000,137958.1
40,1,1,1,20,115,720000,51697.62
70,1,1,1,18,98,690000,17660.71
48,1,1,1,30,115,650000,143922.93
43,1,1,1,27,115,600000,124310.9
51,1,1,1,26,115,626000,252.2
